ip_address,generation
192.168.0.26,2
192.168.0.36,2
192.168.0.42,2
192.168.0.66,2
192.168.0.118,2
192.168.0.178,2
192.168.0.191,2
192.168.0.206,2
192.168.0.218,2
192.168.0.227,2
192.168.0.228,2
192.168.0.7,1
192.168.0.8,1
192.168.0.9,1
192.168.0.10,1
192.168.0.15,1
192.168.0.16,1
192.168.0.18,1
192.168.0.20,1
192.168.0.21,1
192.168.0.22,1
192.168.0.25,1
192.168.0.37,1
192.168.0.40,1
192.168.0.43,1
192.168.0.44,1
192.168.0.46,1
192.168.0.49,1
192.168.0.51,1
192.168.0.52,1
192.168.0.54,1
192.168.0.55,1
192.168.0.61,1
192.168.0.62,1
192.168.0.63,1
192.168.0.64,1
192.168.0.65,1
192.168.0.67,1
192.168.0.68,1
192.168.0.69,1
192.168.0.74,1
192.168.0.75,1
192.168.0.76,1
192.168.0.77,1
192.168.0.78,1
192.168.0.80,1
192.168.0.82,1
192.168.0.83,1
192.168.0.85,1
192.168.0.86,1
192.168.0.89,1
192.168.0.90,1
192.168.0.92,1
192.168.0.93,1
192.168.0.94,1
192.168.0.96,1
192.168.0.97,1
192.168.0.98,1
192.168.0.99,1
192.168.0.100,1
192.168.0.101,1
192.168.0.102,1
192.168.0.105,1
192.168.0.111,1
192.168.0.112,1
192.168.0.117,1
192.168.0.120,1
192.168.0.124,1
192.168.0.125,1
192.168.0.126,1
192.168.0.127,1
192.168.0.128,1
192.168.0.132,1
192.168.0.138,1
192.168.0.139,1
192.168.0.148,1
192.168.0.150,1
192.168.0.151,1
192.168.0.152,1
192.168.0.153,1
192.168.0.154,1
192.168.0.156,1
192.168.0.157,1
192.168.0.159,1
192.168.0.160,1
192.168.0.161,1
192.168.0.168,1
192.168.0.169,1
192.168.0.172,1
192.168.0.173,1
192.168.0.174,1
192.168.0.180,1
192.168.0.183,1
192.168.0.184,1
192.168.0.187,1
192.168.0.188,1
192.168.0.189,1
192.168.0.194,1
192.168.0.197,1
192.168.0.198,1
192.168.0.199,1
192.168.0.201,1
192.168.0.205,1
192.168.0.212,1
192.168.0.213,1
192.168.0.217,1
192.168.0.219,1
192.168.0.220,1
192.168.0.223,1
192.168.0.224,1
192.168.0.226,1
192.168.0.231,1
192.168.0.234,1
192.168.0.235,1
192.168.0.236,1
192.168.0.238,1
192.168.0.240,1
192.168.0.242,1
192.168.0.243,1
192.168.0.245,1
192.168.0.246,1
192.168.0.248,1
192.168.0.249,1
192.168.0.251,1
192.168.0.252,1
192.168.0.254,1